
1,4,,Xander Schauffele,-9,F,-5,69,68,--,--,137,2,21,19
T2,14,,Patrick Reed,-8,F,-7,72,66,--,--,138,24,70,46
T2,1,,Joaquin Niemann,-8,F,-1,66,72,--,--,138,4,8,4
,,,titleist,,,,,,,,,,,
4,1,,Rickie Fowler,-7,F,-2,68,71,--,--,139,72,T228,156
T5,--,,Patrick Cantlay,-6,F,-2,69,71,--,--,140,18,T25,7
,,,titleist,,,,,,,,,,,
T5,3,,Justin Thomas,-6,F,E,67,73,--,--,140,6,5,1
,,,titleist,,,,,,,,,,,
T7,3,,J.T. Poston,-5,F,-2,70,71,--,--,141,35,45,10
,,,titleist,,,,,,,,,,,
T7,2,,Matthew Wolff,-5,F,-1,69,72,--,--,141,52,93,41
T9,13,,Gary Woodland,-4,F,-4,73,69,--,--,142,27,36,9
,,,titleist,,,,,,,,,,,
T9,2,,Nate Lashley,-4,F,-2,71,71,--,--,142,40,51,11
,,,titleist,,,,,,,,,,,
T9,2,,Collin Morikawa,-4,F,-2,71,71,--,--,142,47,65,18
T9,2,,Lanto Griffin,-4,F,-2,71,71,--,--,142,5,3,2
,,,titleist,,,,,,,,,,,
T9,4,,Jon Rahm,-4,F,E,69,73,--,--,142,134,T228,94
T9,6,,Matt Kuchar,-4,F,1,68,74,--,--,142,81,148,67
T15,11,,Graeme McDowell,-3,F,-4,74,69,--,--,143,69,105,36
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
T15,7,,Corey Conners,-3,F,-3,73,70,--,--,143,30,37,7
,,,titleist,,,,,,,,,,,
T15,1,,Dustin Johnson,-3,F,-2,72,71,--,--,143,154,T228,74
T15,4,,Ryan Palmer,-3,F,-1,71,72,--,--,143,49,61,12
,,,titleist,,,,,,,,,,,
19,3,,Kevin Kisner,-2,F,-1,72,72,--,--,144,116,162,46
,,,titleist,,,,,,,,,,,
T20,6,,Chez Reavie,-1,F,-2,74,71,--,--,145,90,131,41
,,,titleist,,,,,,,,,,,
T20,6,,Adam Long,-1,F,-2,74,71,--,--,145,20,22,2
,,,titleist,,,,,,,,,,,
T20,4,,Sung Kang,-1,F,E,72,73,--,--,145,64,83,19
,,,titleist,,,,,,,,,,,
T20,9,,Brendon Todd,-1,F,1,71,74,--,--,145,1,1,--
,,,titleist,,,,,,,,,,,
T24,2,,Paul Casey,E,F,-1,74,72,--,--,146,98,132,34
,,,titleist,,,,,,,,,,,
T24,2,,Jim Herman,E,F,E,73,73,--,--,146,147,185,38
,,,titleist,,,,,,,,,,,
T26,5,,Max Homa,1,F,-1,75,72,--,--,147,160,192,32
,,,titleist,,,,,,,,,,,
T26,4,,Cameron Champ,1,F,1,73,74,--,--,147,9,9,--
T26,10,,Sebastian Munoz,1,F,2,72,75,--,--,147,3,2,1
,,,titleist,,,,,,,,,,,
T26,21,,Tyler Duncan,1,F,5,69,78,--,--,147,11,11,--
,,,titleist,,,,,,,,,,,
30,2,,Keith Mitchell,2,F,-1,76,72,--,--,148,82,100,18
,,,titleist,,,,,,,,,,,
T31,3,,J.B. Holmes,3,F,-2,78,71,--,--,149,183,T228,45
T31,15,,Dylan Frittelli,3,F,4,72,77,--,--,149,26,28,2
33,1,,Kevin Na,4,F,1,76,74,--,--,150,8,6,2
,,,titleist,,,,,,,,,,,
34,8,,Martin Trainer,5,F,4,74,77,--,--,151,T189,T228,39
